bus_no,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
5,LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),17:25,05h 40m,23:05,4.5,549,7
5,A1 Travels,Bharat Benz A/C Sleeper (2+1),17:30,06h 00m,23:30,4.2,700,21
5,Suraj Holidays,NON AC Seater / Sleeper 2+1,23:55,06h 05m,06:00,4.2,650,17
5,NS Transports,Non A/C Seater / Sleeper (2+1),23:57,06h 33m,06:30,4.1,700,13
5,SKS Tours & Travels,A/C Sleeper (2+1),23:59,05h 41m,05:40,3.6,799,19
5,NS Transports,Non A/C Seater / Sleeper (2+1),23:59,06h 11m,06:10,4.1,699,18
5,National travels and logistics,NON A/C Sleeper (2+1),00:40,05h 35m,06:15,3.6,599,20
5,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),17:30,05h 46m,23:16,1.9,600,19
5,KP Travels,A/C Seater Push Back (2+2),18:00,07h 00m,01:00,2.4,499,33
5,A1 Travels,Non A/C Seater / Sleeper (2+1),23:40,07h 05m,06:45,1.4,500,19
5,NS Transports,VE A/C Sleeper (2+1),23:59,07h 31m,07:30,4.1,900,22
5,A1 Travels,A/C Seater / Sleeper (2+1),23:45,06h 45m,06:30,1.4,550,20
5,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),23:55,05h 35m,05:30,3.5,899,20
6,KSRTC (Kerala) - 719,Super Fast Non AC Seater (2+3),23:00,06h 40m,05:40,3.2,319,16
6,NS Transports,Non A/C Seater / Sleeper (2+1),19:30,07h 00m,02:30,4.1,799,1
6,A1 Travels,A/C Seater / Sleeper (2+1),20:00,08h 00m,04:00,3.3,800,13
6,National travels and logistics,NON A/C Sleeper (2+1),20:45,07h 15m,04:00,3.8,799,8
6,Suraj Holidays,NON AC Seater / Sleeper 2+1,21:00,06h 00m,03:00,3.4,700,6
6,SKS Tours & Travels,A/C Sleeper (2+1),21:00,07h 00m,04:00,4.1,799,11
6,DA Transports,A/C Sleeper (2+1),21:50,06h 40m,04:30,3.6,799,7
6,NS Transports,A/C Sleeper (2+1),20:15,07h 15m,03:30,4.1,949,21
6,A1 Travels,Non A/C Seater / Sleeper (2+1),21:45,06h 15m,04:00,3.6,800,4
6,DA Transports,A/C Sleeper (2+1),22:01,06h 39m,04:40,3.6,849,13
6,A1 Travels,A/C Seater / Sleeper (2+1),22:30,05h 45m,04:15,3.3,700,12
6,Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,07h 00m,04:00,2.8,759,21
6,SAAM BUS,VE A/C Sleeper (2+1),20:30,07h 30m,04:00,4.0,833,5
6,MMK Travels,A/C Sleeper (2+1),21:00,06h 00m,03:00,4.3,900,11
6,SAAM BUS,VE A/C Sleeper (2+1),21:00,07h 30m,04:30,4.0,900,6
6,National travels and logistics,A/C Sleeper (2+1),21:00,06h 15m,03:15,3.8,999,13
6,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:30,07h 15m,04:45,3.5,899,10
6,Suraj Holidays,VE A/C Sleeper (2+1),22:00,07h 00m,05:00,3.6,880,16
7,KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,18:30,03h 05m,21:35,2.0,253,14
7,KSRTC (Kerala) - 48,Swift Deluxe Non AC Air Bus (2+2),19:00,02h 35m,21:35,3.1,216,32
7,KSRTC (Kerala) - 1956,Super Fast Non AC Seater (2+3),20:00,03h 30m,23:30,3.1,181,34
7,KSRTC (Kerala) - 46,Swift Deluxe Non AC Air Bus (2+2),20:25,02h 35m,23:00,3.7,216,28
7,KSRTC (Kerala) - 2393,Low Floor AC Seater 2+2,20:30,03h 05m,23:35,2.5,253,8
7,KSRTC (Kerala) - 3398,Super Fast Non AC Seater (2+3),20:30,03h 30m,00:00,3.1,174,43
7,KSRTC (Kerala) - 424,Super Fast Non AC Seater (2+3),20:30,03h 45m,00:15,3.1,181,42
7,KSRTC (Kerala) - 1506,Super Fast Non AC Seater (2+3),20:30,03h 45m,00:15,3.1,181,49
7,KSRTC (Kerala) - 567,Super Express Non AC Seater Air Bus (2+2),20:45,03h 45m,00:30,3.1,201,38
7,KSRTC (Kerala) - 3090,Super Express Non AC Seater Air Bus (2+2),20:55,02h 35m,23:30,3.1,216,32
7,KSRTC (Kerala) - 3294,Super Fast Non AC Seater (2+3),21:00,04h 00m,01:00,3.1,181,34
7,KSRTC (Kerala) - 827,Super Fast Non AC Seater (2+3),21:00,03h 30m,00:30,3.1,181,45
7,KSRTC (Kerala) - 815,Super Fast Non AC Seater (2+3),21:10,03h 45m,00:55,3.1,181,30
7,KSRTC (Kerala) - 531,Super Express Non AC Seater Air Bus (2+2),21:15,02h 25m,23:40,3.1,216,20
7,KSRTC (Kerala) - 42,Swift Deluxe Non AC Air Bus (2+2),21:25,02h 40m,00:05,3.1,216,16
7,KSRTC (Kerala) - 2954,Super Express Non AC Seater Air Bus (2+2),21:25,03h 30m,00:55,3.1,216,20
7,KSRTC (Kerala) - 3468,Super Fast Non AC Seater (2+3),21:26,03h 15m,00:41,3.1,181,44
7,KSRTC (Kerala) - 2919,Super Fast Non AC Seater (2+3),21:30,03h 30m,01:00,3.1,181,49
7,KSRTC (Kerala) - 344,Super Fast Non AC Seater (2+3),21:45,03h 20m,01:05,3.1,181,47
7,KSRTC (Kerala) - 44,Swift Deluxe Non AC Air Bus (2+2),21:50,02h 50m,00:40,3.1,216,11
7,KSRTC (Kerala) - 560,Super Express Non AC Seater Air Bus (2+2),22:10,03h 05m,01:15,3.1,216,30
7,KSRTC (Kerala) - 409,Super Express Non AC Seater Air Bus (2+2),22:15,02h 30m,00:45,3.1,216,8
7,KSRTC (Kerala) - 666,Super Fast Non AC Seater (2+3),22:25,03h 30m,01:55,3.1,181,48
7,KSRTC (Kerala) - 1841,Low Floor AC Seater 2+2,22:30,03h 10m,01:40,3.1,253,16
7,KSRTC (Kerala) - 2724,Super Fast Non AC Seater (2+3),22:30,03h 30m,02:00,3.1,174,33
7,KSRTC (Kerala) - 582,Super Express Non AC Seater Air Bus (2+2),22:40,03h 05m,01:45,3.1,201,23
7,KSRTC (Kerala) - 781,Super Fast Non AC Seater (2+3),22:45,03h 25m,02:10,3.1,181,26
7,KSRTC (Kerala) - 586,Super Express Non AC Seater Air Bus (2+2),22:50,03h 15m,02:05,3.1,201,1
7,KSRTC (Kerala) - 128,Super Deluxe Non AC Seater Air Bus (2+2),22:55,02h 40m,01:35,3.1,216,23
7,KSRTC (Kerala) - 1011,Super Fast Non AC Seater (2+3),23:00,03h 25m,02:25,3.1,174,18
7,KSRTC (Kerala) - 798,Super Fast Non AC Seater (2+3),23:00,03h 10m,02:10,3.1,181,49
7,KSRTC (Kerala) - 279,Super Fast Non AC Seater (2+3),23:05,03h 45m,02:50,3.1,181,44
7,KSRTC (Kerala) - 314,Super Fast Non AC Seater (2+3),23:15,03h 30m,02:45,3.1,181,40
7,KSRTC (Kerala) - 2784,Super Express Non AC Seater Air Bus (2+2),23:20,03h 00m,02:20,3.1,201,15
7,KSRTC (Kerala) - 673,Super Fast Non AC Seater (2+3),23:25,03h 15m,02:40,3.1,181,44
7,KSRTC (Kerala) - 2872,Super Express Non AC Seater Air Bus (2+2),23:45,02h 20m,02:05,3.1,216,14
7,KSRTC (Kerala) - 345,Super Fast Non AC Seater (2+3),23:55,03h 40m,03:35,3.1,181,35
7,KSRTC (Kerala) - 505,Super Express Non AC Seater Air Bus (2+2),23:59,02h 16m,02:15,3.1,216,10
7,BLM Transports,A/C Sleeper (2+1),22:00,03h 00m,01:00,3.9,855,13
7,EMERALD TRAVELS,A/C Sleeper (2+1),22:10,02h 20m,00:30,3.0,900,21
7,Madhavi Travels,A/C Sleeper (2+1),22:20,02h 50m,01:10,4.0,999,24
7,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),23:15,02h 25m,01:40,3.0,700,18
7,A1 Travels,Bharat Benz A/C Sleeper (2+1),23:30,02h 00m,01:30,3.3,900,20
7,Madhavi Travels,A/C Sleeper (2+1),23:40,03h 20m,03:00,4.0,799,12
7,UFO Bus,A/C Sleeper (2+1),23:55,03h 35m,03:30,4.1,891,20
7,Madhavi Travels,A/C Sleeper (2+1),23:40,03h 10m,02:50,4.0,854,19
7,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:55,03h 35m,03:30,4.1,675,47
7,Cochin Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:59,03h 31m,03:30,0.0,667,23
7,Kalpaka Travels 1,A/C Sleeper (2+1),23:59,03h 46m,03:45,4.0,800,27
7,Cochin Bus,A/C Sleeper (2+1),23:59,03h 31m,03:30,0.0,900,2
7,SG Travels,Bharat Benz A/C Sleeper (2+1),23:59,03h 31m,03:30,4.7,800,27
7,Kalpaka Travels 1,A/C Semi Sleeper (2+2),23:59,03h 41m,03:40,4.0,600,36
7,Arya Travels,A/C Sleeper (2+1),23:59,03h 16m,03:15,3.2,745,4
7,Arya Travels,A/C Semi Sleeper (2+2),23:59,03h 16m,03:15,3.2,545,16
7,Arya Travels,A/C Seater/Sleeper (2+1),23:59,03h 16m,03:15,3.2,495,26
7,Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:45,03h 00m,00:45,2.7,650,27
7,Galaxy Tours,A/C Semi Sleeper (2+2),21:45,01h 59m,23:44,2.7,650,14
7,MTS Travels,A/C Seater Push Back (2+2),23:30,03h 40m,03:10,1.9,1111,40
8,KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,18:30,09h 55m,04:25,2.4,742,10
8,KSRTC (Kerala) - 48,Swift Deluxe Non AC Air Bus (2+2),19:00,08h 40m,03:40,3.2,565,25
8,KSRTC (Kerala) - 46,Swift Deluxe Non AC Air Bus (2+2),20:25,08h 40m,05:05,2.3,586,26
8,KSRTC (Kerala) - 2393,Low Floor AC Seater 2+2,20:30,10h 05m,06:35,2.8,742,2
8,KSRTC (Kerala) - 3090,Super Express Non AC Seater Air Bus (2+2),20:55,08h 00m,04:55,2.8,586,28
8,KSRTC (Kerala) - 827,Super Fast Non AC Seater (2+3),21:00,11h 35m,08:35,2.9,515,43
8,KSRTC (Kerala) - 531,Super Express Non AC Seater Air Bus (2+2),21:15,07h 50m,05:05,3.6,586,18
8,KSRTC (Kerala) - 42,Swift Deluxe Non AC Air Bus (2+2),21:25,08h 45m,06:10,2.7,586,8
8,KSRTC (Kerala) - 2954,Super Express Non AC Seater Air Bus (2+2),21:25,09h 45m,07:10,2.8,586,16
8,KSRTC (Kerala) - 3468,Super Fast Non AC Seater (2+3),21:26,11h 05m,08:31,2.8,515,44
8,KSRTC (Kerala) - 44,Swift Deluxe Non AC Air Bus (2+2),21:50,08h 55m,06:45,4.1,565,6
8,KSRTC (Kerala) - 1841,Low Floor AC Seater 2+2,22:30,10h 00m,08:30,1.6,742,4
8,KSRTC (Kerala) - 279,Super Fast Non AC Seater (2+3),23:05,10h 45m,09:50,2.0,515,37
8,KSRTC (Kerala) - 426,Super Express Non AC Seater Air Bus (2+2),23:15,08h 35m,07:50,2.8,545,1
8,KSRTC (Kerala) - 370,AC MULTI AXLE,23:45,09h 50m,09:35,2.1,935,34
8,KSRTC (Kerala) - 505,Super Express Non AC Seater Air Bus (2+2),23:59,07h 21m,07:20,3.2,565,6
8,A1 Travels,A/C Seater / Sleeper (2+1),20:05,09h 25m,05:30,4.0,700,27
8,BLM Transports,A/C Sleeper (2+1),22:00,09h 00m,07:00,3.9,855,13
8,A1 Travels,NON A/C Semi Sleeper (2+2),21:00,09h 00m,06:00,3.3,550,26
8,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,07h 30m,06:00,3.2,700,21
8,Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:45,08h 45m,06:30,3.1,650,22
8,Galaxy Tours,A/C Semi Sleeper (2+2),21:45,08h 45m,06:30,3.5,650,11
8,Madhavi Travels,A/C Sleeper (2+1),22:20,08h 40m,07:00,3.2,999,5
8,LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),23:05,09h 05m,08:10,3.7,1049,4
8,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:15,07h 30m,05:45,2.4,700,23
8,A1 Travels,Bharat Benz A/C Sleeper (2+1),23:30,08h 30m,08:00,2.9,900,19
8,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),23:15,08h 00m,07:15,1.6,850,13
8,EMERALD TRAVELS,A/C Sleeper (2+1),22:10,08h 20m,06:30,2.5,900,19
9,KSRTC (Kerala) - 48,Swift Deluxe Non AC Air Bus (2+2),19:00,05h 40m,00:40,1.7,381,25
