s_type,departinbus_no,bus_name,bug_time,duration,reaching_time,star_rating,price,seat_availability
10,Cochin Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:30,03h 00m,02:30,,667,15
10,UFO Bus,A/C Sleeper (2+1),23:35,03h 10m,02:45,4.1,850,15
10,Kalpaka Travels 1,A/C Sleeper (2+1),23:40,02h 50m,02:30,4.0,800,1
10,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:40,03h 05m,02:45,4.1,675,27
10,LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),23:47,03h 53m,03:40,3.9,1349,2
10,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),23:50,0-21h 0-50m,03:00,3.0,1000,17
10,Madhavi Travels,A/C Semi Sleeper (2+2),23:50,03h 45m,03:35,4.0,599,15
10,Greenline kerala,A/C Seater Push Back (2+2),23:50,02h 55m,02:45,3.1,600,31
10,Sonia Travels,A/C Semi Sleeper (2+2),23:51,02h 54m,02:45,4.1,600,18
10,Kalpaka Travels 1,A/C Semi Sleeper (2+2),23:55,03h 05m,03:00,4.0,600,24
10,Madhavi Travels,A/C Semi Sleeper (2+2),23:59,03h 36m,03:35,4.0,599,11
10,SG Travels,Bharat Benz A/C Sleeper (2+1),23:59,02h 31m,02:30,4.7,849,17
10,EMERALD TRAVELS,A/C Semi Sleeper (2+2),02:15,02h 10m,04:25,3.0,650,23
10,EMERALD TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),02:30,02h 00m,04:30,3.0,1000,23
10,Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,02:45,03h 15m,06:00,2.7,650,21
11,TGSRTC - 1589,Rajdhani (AC Semi Sleeper 2+2),16:55,05h 55m,22:50,1.6,533,28
11,TGSRTC - 8002,Lahari Non A/C Sleeper Cum Seater,17:00,08h 00m,01:00,2.4,354,31
11,TGSRTC - 7761,Super Luxury (Non AC Seater 2+2 Push Back),17:00,05h 10m,22:10,2.1,440,30
11,TGSRTC - 2042,LAHARI A/C SLEEPER CUM SEATER,17:10,05h 00m,22:10,2.6,376,2
11,TGSRTC - 1502,Rajdhani (AC Semi Sleeper 2+2),17:30,05h 00m,22:30,1.9,536,20
11,TGSRTC - 9698,Lahari A/C sleeper,17:40,06h 10m,23:50,3.3,511,6
11,TGSRTC - 1373,Rajdhani (AC Semi Sleeper 2+2),17:55,06h 15m,00:10,2.1,533,21
11,TGSRTC - 1417,RAJDHANI (A.C. Semi Sleeper),18:30,05h 00m,23:30,2.1,533,28
11,TGSRTC - 1757,Super Luxury (Non AC Seater 2+2 Push Back),18:30,07h 35m,02:05,3.9,352,17
11,TGSRTC - 40477,Super Luxury (Non AC Seater 2+2 Push Back),18:45,06h 45m,01:30,4.4,440,31
11,TGSRTC - 7620,Super Luxury (Non AC Seater 2+2 Push Back),18:50,06h 20m,01:10,4.2,440,31
11,TGSRTC - 9929,Super Luxury (Non AC Seater 2+2 Push Back),18:55,06h 40m,01:35,4.2,352,19
11,TGSRTC - 9807,Lahari A/C sleeper,19:25,06h 05m,01:30,4.2,511,5
11,TGSRTC - 6552,Rajdhani (AC Semi Sleeper 2+2),19:45,06h 05m,01:50,2.8,533,30
11,TGSRTC - 7692,Super Luxury (Non AC Seater 2+2 Push Back),20:05,06h 45m,02:50,3.2,440,33
11,TGSRTC - 9919,Super Luxury (Non AC Seater 2+2 Push Back),20:10,06h 40m,02:50,4.6,356,21
11,TGSRTC - 1401,Rajdhani (AC Semi Sleeper 2+2),20:25,06h 55m,03:20,1.9,533,31
